SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	Coprococcus sp.
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00760093501042
2SM.DN	DN	Normal	Normal	12	DN_12S	0.00811045407693
2i	Inicial	Normal	Normal	0	Inicial	0.00412536833646
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00788899554935
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.0055988272488
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00358394768694
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.0050787863003
8SM.DN	DN	Normal	Normal	12	DN_12S	0.00804498510703
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00459683496609
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00826785635016
13i	Inicial	Normal	Normal	0	Inicial	0.00836984008263
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.015845224547
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00561316542436
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00502497966771
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.011357890233
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00548785408764
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00671018214487
31i	Inicial	Normal	Normal	0	Inicial	0.0107675742194
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00367590748966
33SM.DN	DN	Normal	Normal	12	DN_12S	0.00947472745292
33i	Inicial	Normal	Normal	0	Inicial	0.00802419162817
34DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00452266539715
38DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00429730726669
39DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00349101064758
39DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00658943358084
45DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00428356341582
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00359984089101
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00970047996112
48SM.DN	DN	Normal	Normal	12	DN_12S	0.01264418811
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00305634794206
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00732286449708
50SM.DN	DN	Normal	Normal	12	DN_12S	0.0113660415697
50i	Inicial	Normal	Normal	0	Inicial	0.0156283681828
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00987709056873
51SM.DN	DN	Normal	Normal	12	DN_12S	0.011149590337
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00644618834081
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00306008902077
59DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00303899432477
59i	Inicial	Normal	Normal	0	Inicial	0.0154490213537
